,sentence_1_re_j,sentence_2_re_j,label,binary-label
11242,어두워지면 다른 자리에 앉을 게요,울고 나서 다른 자리에 앉을 게요,3.8,
11243,할머니 보호에 문제가 많아요,우리는 소년보호법을 폐지해야 한다,1.6,
11244,아 이거 맛있다,아 감사합니다,0.0,
11245,길들여지는 게 무섭다는 건 알지만 불쾌한 감정이 많아요,아이고 진짜,0.0,
11246,비밀번호에의 한 제한 통화,안티 암호화 암호화 트랜잭션,2.0,
11247,최근에 끊었어요,오래 썰어,1.6,
11248,그게 무슨 뜻인지,유튜브를 본 적이 있어요,0.0,
11249,그리고 돈을 버는 사람과 돈을 버지 않는 사람은 같은 생각을 할 가능성이 높습니다,어느 분야에 나 적응이 빠르신 것 같아요,0.0,
11250,한두 편만 읽었는데 공감하고 도움이 되는 글이 많아 달려야 한다,12편만으로도 공감하고 도울 수 있는 글이 많아서 계속 읽어보려고 합니다,3.4,
11251,포항에서 온 남자들을 만나 보세요,팝업 두 분의 모임,1.0,
11252,다음에는 김포에서,다음에는 김포,4.0,
11253,세상에서 제일 친절한 목소리는 초조야,와 너무 좋은 소리네요,2.2,
11254,진짜 감동적인 영화네,너무 감동적인 영화네요,4.0,
11255,그 바의 머리 그 프릴의 움직임 그 그림자 그 당신이 부르는 입 버트 레스 그것은 놀랍습니다,어머나 저거는 긴 머리 예 요 그 동작의 그림자에서 부르는 입이 너무 신기해서 가상의 이미지예요,3.2,
11256,저는 보통 그 큰 모니터 옆에 있었어요,내가 언제 그런 사진을 찍었나,0.0,
11257,그럼 블랙 핑크로 가겠습니다,그러면 제가 황동 북을 넘을 거예요,0.0,
11258,엄마에서 나오는 dvd 봤어요 끝났어요,너무 좋아서 dvd 책들을 다 샀어요,0.6,
11259,하지만 다이심이 인공호흡기가 되는 것도 가능해요,하지만 개복술에서 할 수 있어요,3.8,
11260,내일 찍어볼게요,나중에 거기로 놔둘게요,0.0,
11261,시간 낭비로 4개의 일자리,시대를 초월한 영화,4.0,
11262,아마도 개인 정보와 보안 때문일 것입니다,이게 제 하드웨어 문제인가요,0.0,
11263,현장에 특기학교를 차려주시기를 요청드립니다,광주 숲에 예술고등학교를 지었으면 좋겠습니다,0.0,
11264,영화가 너무 좋네,영화가 너무 좋네,3.6,
11265,녹은 허리에 올라서면 뵙고 싶어요,앞으로 뵙는 것도 좋을 것 같습니다,3.0,
11266,지금은 트렌드가 조금 벗어났지만 여전히 너무 비쌉니다,와 햇살 너무 좋다,0.0,
11267,네 보안을 위해 보고서를 차단했어요,처음 얘기하는 거잖아요,0.0,
11268,현대 bsc의 수장이 만든 현대 hdac 코,현대적인 bs c 선장이 만든 현대 hdac 코입니다,5.0,
11269,남은 하루를 플레이하세요,하루의 나머지를 끝내도록 하세요,3.0,
11270,성매매 사기죄의 법리,성매매 및 여성 지원법에 관한 정보,0.4,
11271,이렇게 울 수도 없는데,이런 기분은 처음이에요,3.6,
11272,급박함을 느끼기 어렵고 예측하기 쉬우며 너무 흔한 일이에요,급한 게 느껴지기 힘들어 예견이 돼 너무 흔해,4.0,
11273,정부 신용카드 수수료,카드사의 수수료 체크인,1.4,
11274,너무 반갑습니다,어서 오세요,4.0,
11275,낭만적이고 스릴러 코미디,유머가 넘치는 유대인 가부장 그리고 아이들과 함께 프랑스식 미국 로맨틱 코미디를 따내는 데 도움을 준 사랑 이야기,1.4,
11276,마음속으로는 1번이야,질문드립니다,0.0,
11277,지루하지 않은 농담을 하는 영화인데 자연 영상이 너무 멋지고 생각을 많이 해요,사람들이 지루하지 않게 농담하는 것은 당연한 일이지만 너무 좋은 생각을 하게 하는 영화입니다,3.4,
11278,정부 연금에 대한 국가적 사기를 막아주셨으면 합니다,정부 연금 사는 걸 그만둬야 해,3.6,
11279,데이트 폭력에 대한 특별법 청원,성폭력 죄 또는 성폭력 죄의 형법 개정,0.5,
11280,베스트셀러 폐지를 위한 하루 청원,최적의 보관 장소는 하루 동안 폐쇄해야 합니다,4.0,
11281,회사에서 준비해 놓겠습니다,회사에 제안하겠습니다,2.8,
11282,뮤직비디오를 너무 좋아해서 더 좋아해요,뮤직비디오를 본인에게 맞게 선택하여 뮤직비디오로 시청할 수 있도록 추천드립니다,1.2,
11283,보여주라고 해,지옥 먹어볼게,0.0,
11284,채널을 바꾸면 봇 코드를 수정해야 하고 우리는 그것을 유지할 것입니다,아 채널을 변경하면 봇을 수정해야 한다고 들었어요,2.6,
11285,특히 여주인공이 사자의 능력의 후반에 있을 때,스톡홀름 증후군을 가진 여주인공처럼 나는 그에게 설득을 받았는가,0.8,
11286,그래서 다시 한번 멋지고 깔끔한 한 번,깔끔하게 해 주셔서 감사합니다,0.4,
11287,모바일 온라인 게임업체가 나란히 규제를 이용해 소비자를 해치는 것을 막기 위한 법안을 만들어 달라,모바일 게임 온라인게임업자가 확률적 아이템 규제를 회피하여 소비자에게 해를 끼치지 않도록 법으로 한다,4.2,
11288,아동 권리에 관한 기본법 중 하나에 대해 더 검토해 보고자 한다,공개 신용 시험과 필수 과목을 청원합니다,0.0,
11289,형은 똥 같지만 모세야 그렇지,어머님이시라는 뜻은 아니었습니다,0.0,
11290,스필버그의 팬이지만 et를 꽤 유치하게 본 남자로서 그는 그와 함께 가장 감동적인 영화를 보았고 그것이 그를 보고 싶어지게 만들었다,저는 스필버그 팬이지만 아주 유치한 사람으로서 지금까지 본 영화 중 가장 영감을 주는 영화를 et와 함께 보고 싶었습니다,1.8,
11291,우레 마나 이후 시반을 즐길 수 있을 만큼 나이가 많으신 분들은 추천드립니다,초등학교 때 본 것 중 최악이야,0.8,
11292,광주는 경찰의 폭행을 당했습니다,회사 장님이 아내를 폭행하셨어요,0.2,
11293,추천 서비스를 매우 흥미롭게 만들 것을 추천해 주신 방식에 매우 감명받았습니다,추천한 서비스가 매우 흥미롭다는 추천에 감동했습니다,2.8,
11294,이탈리아가 어떤지 더 궁금해하고 행복을 재정의하는데 너무 좋아,다시 뵙게 되어 너무 반갑습니다,2.0,
11295,우리는 아내들,십 대들은 국가의 미래입니다,0.0,
11296,대통령님께 질문드립니다,대통령 친 대통령에게 대통령의 질문을 하고 싶습니다,2.0,
11297,2019년 최저임금,나는 2019년 최저임금 인하를 청원한다,1.2,
11298,택시 요금을 인상하려고 합니다,무슨 일이 일어날지 담배가 더 비싸지,0.6,
11299,아무튼 남북 단일팀이 우리한테 맞지,그러나 북쪽이나 남쪽 남쪽 남쪽 남쪽 남쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽 북쪽,2.4,
11300,초등학교 교원 수를 늘릴 수 있나요,조 둑가 나는 무기야,0.0,
11301,이렇게 좋은 시간을 보낸 지가 오래됐어요,저도 아주 즐거운 대화를 나눴습니다,3.4,
11302,마지막에 커피를 마셨는데 이 조합이 재미있었어요,아 사업 얘기하는 재미가 있었네요,0.8,
11303,유명한 영화 다 긴 이야기다,드라마에 집중할 수 없어서 채널을 돌립니다,0.0,
11304,저희 회사에서 문과 사적인 일을 꿈꾸는 것,문과 개인 갱을 가져와 포드,1.8,
11305,로렌스야 왜 그러냐 연기 아니야,역대 최고의 로맨스 드라마,0.0,
11306,식사할 공간이 생기면 서로 인사를 드리고 싶습니다,산 정상에서 만나면 반갑습니다,1.6,
11307,미국에 항의해 주셨으면 합니다,중국의 먼지에 항의해야 합니다,0.2,
11308,모로코 여행의 위험성을 알려주세요,모로코 여행 위험 경고,3.6,
11309,디저트도 그중 하나야,기술 연습을 하는 동료를 구하려고 해요,0.0,
11310,언론을 국민의 편으로 만들어,국민을 위한 안전 시스템을 구축합니다,0.2,
11311,왜 이게 액션이라고 생각하시나요,왜 나를 쳐다봤어,0.8,
11312,징이랑 이 형 연기가 제일 크다,폭발물과 치아는 최고의 훈연입니다,4.0,
11313,나처럼 10초 레이스인 것 같아,아마 여성용이 있을 수도 있어요,0.0,
11314,그래서 일단 옆으로 보고 그다음에 옆으로 보고,개인적으로 많이 즐거우셨네요,0.2,
11315,절친보다 더 예쁘면 그냥 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인 여자인,캐릭터 못하면 캐스팅 문제이고 방금 친구로 나온 여자만큼 못하면 캐스팅 문제입니다,3.8,
11316,관심 있으신 분들과 공유하고 싶습니다,주로 알아보고 있는데 혹시 관심이 있으신 분 계실지 알아보고자 가지고 왔습니다,2.6,
11317,2인승 고속도로 출입구,이륜차입니다,1.2,
11318,아마도 이것은 세계에서 가장 후회되는 영화 중 하나일 것입니다,한국 드라마에서 일어난 최고의 일은 아니라 고 생각 합니다,0.0,
11319,어젯밤에 하루 중간에 코멘트를 하려고 합니다,초석을 남기려고 합니다,1.0,
11320,mbc 작가들이 정말 못생겼어요,진짜 웃기다,0.0,
11321,진짜 싫어하더라고,진짜 안 좋아,0.4,
11322,냉각 시간도 좋은데요,진짜 좋은 것 같아,2.6,
11323,정말 원하는 삶을 살면 정말 원하는 삶을 살 수 있고 겉으로 보아도 진정한 행복을 느낄 수 있다,정말 원하는 삶을 살면 겉으로 보기엔 어두워도 정말 행복한 삶을 살 수 있다,3.6,
11324,지정된 어버이날 휴일 없음,아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니 아니,3.8,
11325,속상하네 과잉보호는 독이네,과잉보호는 독이라고 생각해요,4.0,
11326,해외에 나가면 48시간 만에 pcr 검사를 해보고 싶은 나라가 있는데 요즘 코로나 환자가 빠질 때 pcr 검사를 안 하는 사람이 늘고 있습니다,오늘 pcr을 확인했고 1시간 동안 줄을 서서 기다렸습니다,1.0,
11327,지난주에 저희 팀 워크숍 때문에 월요일에 시작했습니다,아 nlp 워크숍에서 금요일에 사용했는데 월요일에 다시 가져오려고 했습니다,0.8,
11328,내가 조작된 것처럼 느끼지 말고 알려줘,정말 큰일 나지 않았는지 확인하고 싶으면 문제가 발생하기 전에 그것을 꺼내야 합니다,0.0,
11329,기대하지 못한 것에 실망했습니다,큰 공연을 못 할 것 같아,1.0,
11330,마음에 안 드는 게 많지만 재미가 많아요,모두 그렇게 지루한 것은 아닙니다,1.2,
11331,17살이었어,내 인생의 낭비였어,0.0,
11332,몇 년 전에 그녀는 나에게 낯설어 보였습니다,모든 여자 배우들의 얼굴에 새로운 모습을 갖게 되었어요,4.0,
11333,존경합니다 사장님,존경하는 분이 작가님입니다 사장님 힘내세요,2.2,
11334,그리고 저에게 추천을 해주었을 뿐만 아니라 저에게도 추천을 해주셔서 너무 맛있더라고요,강릉 씨 외에 서울 맛을 추천해 드렸는데 사진이 너무 좋은 것 같아요,3.8,
11335,제 건강 관리에 도움이 필요합니다,펜션 반납 부탁드립니다,0.0,
11336,깜짝 놀랐어,재미있긴 했지만 마치 교과서를 보는 것 같은 느낌이 들었어요,0.0,
11337,심부름센터를 모두 없애세요,체육관의 모든 혜택을 없애주셔야 해요,0.4,
11338,손예진의 시기의 리스를 보는 것만으로도 충분하다,알의 카리스마는 대단한 영화였고 미셸 누이 시절에 본 영화 중 가장 놀라운 영화라고 확신한다,0.4,
11339,국회의원이 되고 싶지 않다면 해고시켜 주세요,국민이 자신이 선출한 의회 의원을 철회하도록 한다,3.5,
11340,기대하고 힘내겠습니다,프레젠테이션을 잘 마무리하시길 격려 드리고 싶습니다,2.6,
11341,저는 이 영화를 아키라 구로 자와의 최고의 작품으로 선택했습니다,인류의 무사이로 구로 사와 아키라의 연출가 중 가장 위대한,2.4,
11342,생산을 위한 쉬운 설정,아이들의 설정은 적절하고 재미있었습니다,0.4,
11343,지금 작업하고 있는 작품처럼 서로 다른 이야기를 나눌 수 있어서 좋습니다,사건 이후 느꼈던 점 지금 작업 중인 작품 등 비슷한 이야기를 많이 나눌 수 있어서 너무 좋습니다,4.4,
11344,다음 여행에 대해 듣고 싶습니다,다음 여행에 대해 듣고 싶습니다,4.2,
11345,나는 마터스 이후로 죽었어,마쿠스 이후로,4.0,
11346,저는 당신과 흥미로운 대화를 나눴습니다,나는 당신에게 흥미로운 것에 대해 이야기하는 데 한 시간을 보냈습니다,3.0,
11347,넓지만 매끄럽습니다,그냥 순진한 영화야,0.8,
11348,이 영화를 보는 것보다 라디오를 한 번 더 보는 게 낫겠어요,이 영화를 보는 것보다 주립 라디오를 한 번 더 보는 게 낫겠어요,3.2,
11349,저희 회사는 읽고 싶은 책 법 무료 사본을 구입할 수 있음을 명 심합니다,읽고 싶은 책 법 자동차 사본을 자유롭게 구입할 수 있음을 알려드리기 위해 왔습니다,3.6,
11350,이 전 시리즈에서는 마지막 세계 종말의 전투 장면이 너무 강렬해서 낯선 사람들이 지루해 했다,이 전 시리즈에서는 데이비 존스 크라켄과 월드 엔드에서의 마지막 전투가 매우 큰 규모로 치열했다,3.0,
11351,외국인을 위한 한국 교과서에 등장했던 영혼 없는 대사들 그러나 그들은 발명적이지 않고 초심되지 않은 이야기들에 그저 웃었다,나는 논쟁의 여지가 없는 대사에 웃고 외국인을 위한 어학 교과서에 나올 팽팽한 이야기만 들었다,3.6,
11352,청소년 보호법의 철폐,청소년 보호법에 반항합니다,4.2,
11353,귀엽다 감동적이었어 좋았어,재미있었어 감동적이었어,3.0,
11354,하와이를 봤잖아 우리가 옳은 일을 할 권리가 있잖아,이브야 두 분이 빨리 회복하셨네요 모두 장사하고 계세요,0.2,
11355,pmsss의 침입,스쿨보이 형 수 폭행 얘기하는 거야,1.8,
11356,빨간색이 좋아 보여,여름에 뵙게 되어 반갑습니다,0.8,
11357,전에 본 적도 있지만 잊을 수가 없어서 다시 보고 볼 때마다 명작이라는 걸 깨닫게 한다,예전에 많이 즐거운 신 것 같은데 다시는 못 뵙겠습니다,0.8,
11358,비야에 사는 다 다르는 관리비로 10만 달러를 내고 있다,주택을 제외한 모든 벨라 아파트는 보안실에 비공개로 있어야 한다,0.0,
11359,오늘 뭐 할 거야 밥 먹을 때 얘기하자,그냥 친숙한 연예인들을 모두 모아 놓고 오늘 뭐 해드릴까요,3.8,
11360,교육청을 없애자,더 많은 사무실 시간이 필요합니다,0.0,
11361,저는 개인적으로 레이 미스테리오의 팬입니다,제가 제일 먼저 팬이 됐어요,0.2,
11362,그동안 많은 것들이 바뀌었습니다,몇 년 동안 많이 변하셨어요,3.2,
11363,압도되고 잘못 선택된 음악,좋은 것 같지만 잘 끝나지 않을 거예요,0.0,
11364,그런데 좀 짧아 아쉽네요,조금 짧네요 죄송합니다,3.4,
11365,그를 만나러 가야 할 것 같아요,아 갈게요,0.4,
11366,연령제를 통일해야 합니다,우리는 전체 연령이 필요할 것입니다,3.0,
11367,연을 위해 할 수 있는 필름입니다,아이디어로 시작해서 아이디어로 끝납니다,0.2,
11368,나는 2년 된 연극을 좋아하지 않아,역대 최고의 레코드 쇼야,0.4,
11369,태순 방화범의 석방 흔적이 보이지 않습니다,소방관 방화복을 제작해 주셨으면 합니다,0.0,
11370,너무 못해줬는데 감동이네요,그런데 감명받았어,2.2,
11371,소비표 기법을 조금 드리겠습니다,일본 군함에 대한 정식 항의를 요청합니다,0.0,
11372,아이들의 집을 보호해 주셔야 합니다,아이들의 집을 보호하세요,3.0,
11373,그런데 슈 시에서 본 듯 머릿속에 아픈 매력이 없었다는 게 아쉬웠다,그런데 제가 바라보는 그런 매력이 없어서 제 자신을 미안하게 느꼈습니다,4.0,
11374,어린이의 스쿨 카에 알람 대신 안전벨트를 착용하고 있는 경우 알람을 변경해야 한다고 생각합니다,어린이용 스쿨 카는 자동차 안전벨트 착용 방법에 대한 알람 대신 엔진이 울리면 알람이 울리도록 수정해야 한다고 생각합니다,4.2,
11375,저한테는 정신질환자 같네요,저한테는 사이코패스 같네요,2.2,
11376,에 본 프랑스 영화,그 영화를 보고 즐거운 시간을 보냈어요,2.4,
11377,어 고기 3종 고구마 1종을 내 가격에,네 어 갈 3종과 고구마 하나,3.0,
11378,자 여기 있습니다,10번의 작업에 감사드립니다,0.0,
11379,한 시간 동안 너무 많은 이야기를 나누고 있어요,한 시간 동안 정말 특별한 대화를 많이 했어요,3.6,
11380,영화관에서 돈을 받았는데 내가 낮게 줬어,이거는 영화관에서 하는 거야,1.2,
11381,저 노래 너무 좋아,야간에는 조금 무섭다,0.0,
11382,가해자를 위한 소년법 개설을 요청하는 것입니다,피해자가 아닌 가해자를 위한 소년법을 폐지해 주셨으면 합니다,2.4,
11383,김동연 국무총리님 국민들이 더 힘들어지기 전에 지방 최저임금을 빨리 적용해 주시 기 바랍니다,김동연 부사장님이 대통령이라면 너무 좋겠습니다,0.6,
11384,국민들은 정권의 정책의 원천으로 눈물을 흘리며 죽어가고 있다,정부 정책 때문에 사람들이 피를 흘리고 죽어가고 있습니다,4.2,
11385,나한테 아무것도 기대하지 마,기대하지 마,2.8,
11386,햇살과 바람을 많이 보기 위해 베란다에 올려놓았습니다,베란다에 올려놓고 햇빛도 많이 다 바람도 많이 다,3.2,
11387,형님하고 동료 배우들이 잘하는 걸 봤어요,무대 배우들의 공연 물론 여자 배우들의 공연도 좋아했다,3.6,
11388,나 계속 웃고 있었는데 영호를 봤어,내가 화난 영화를 계속 보고 있는 동안,1.0,
11389,웃기지만 움직여,조금 과 한데,0.0,
11390,우리는 환경을 보호해야 합니다,제주가 난민을 돌려주기를 원합니다,0.2,
11391,사장님 소년법을 정해 주셨으면 합니다,소년법의 폐지 또는 개정을 요청하는 바입니다,3.2,
11392,좀 점만 주는 건 진짜 안 좋은 영화다,영화 읽는 법도 몰라,3.2,
11393,다시 등장하는 저희 회사의 티셔츠를 담당하고 있습니다,준비는 저희 회사의 티셔츠입니다,1.2,
11394,시간 외에 수당이 얼마인지 아세요,시간 여유가 없어,2.0,
11395,가정폭력과 아동학대 때문에 문을 두드린다,가정폭력과 아동학대 때문에 문을 두드리고 있습니다,3.6,
11396,모두 괜찮으시길 바랍니다,괜찮으시길 바랍니다,4.2,
11397,심슨 아 나는 좋아하지만 생각보다 재미있지는 않아,다시 뵙게 되어 너무 웃기고 감동적이네요,1.0,
11398,그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥 그냥,기분이 나빠지네요,4.0,
11399,다든 형제 영화,노르웨이에서 나온 나쁜 영화야,0.2,
11400,그리고 마음에 드는 디자인이 있다면,뒤에 답이 있을 거야,0.0,
11401,커플 경험,커플 경험,4.0,
11402,자유 구역을 요청합니다,반려견 자유 구역을 정의하라는 청원입니다,3.6,
11403,18세 직원이 이렇게 적었습니다,전 열차 전체의 승용차 절반을 사용하고 있어요,0.0,
11404,청소년 법규를 폐지하거나 수정해 주셨으면 합니다,청소년 보호법을 개정하거나 개정해야 한다,3.8,
11405,진짜 얘기하자 얘기하자,진지하게 마음을 바꿔야 해요,1.4,
11406,이 주민은 잘 살 권리가 있습니다,이 주 노동자는 잘 살 권리가 있습니다,4.0,
11407,폐와 신존재 모두에서 거부되어야 할 사람들을 표준화해 주셨으면 합니다,일반 장애인과 같은 대우를 해주셨으면 합니다,0.0,
11408,아니 장르가 무더기 있는데 이거를 돈 주고 준 사람들이 생각나게 해줬어,이런 거 보고 행복해하는 사람들은 아이디어가 있어요,1.4,
11409,데미 무어의 파국적 변신,정교한 총격의 정수,0.0,
11410,한 번 눌러보고 싶은데 정확히 네 번 눌러보려고 합니다,아 요즘 재활을 온 마음으로 운동하고 있어요,0.0,
11411,때로는 같은 선율 샘플을 사용하기도 하고 노래 중 일부는 같지만 표절이 아니라 고 말 한다,가끔 같은 선율 샘플을 사용할 때 노래의 일부가 똑같지만 이 경우에는 표절이 아닙니다,4.0,
11412,해변 이름이 너무 좋아요,눈에 친숙한 이름이 있습니다,0.2,
11413,액션도,맞아요 맞아요 맞아요,1.4,
11414,피사의 가상화를 폐지하는 것을 거부한다,가상화폐 폐지를 거부합니다,5.0,
11415,눈물 나니 안 돼 눈물 나니 안 돼,그녀는 머리 전체에 눈물이 있었어요,4.0,
11416,전직 대통령은 출국이 금지돼요,전직 대통령의 출국을 막아주세요,4.0,
11417,잘 어울리지만 그게 다야,저는 영웅이 아닌데 예쁘다는 거 빼고는,1.8,
11418,와 두 분이 대단하시네요,와 두 분이 대단하시네요,4.2,
11419,너무 유치하다 너무 어색해,너무 유치하다 너무 바보 야 너무 바보야,3.4,
11420,커피숍에서 뭘 샀는지 모르겠어,그는 사무실에 와서 카페에서 티 브레이크를 했다,1.0,
11421,저는 기대를 포기하지 않습니다,영화가 모든 사람을 위한 것은 아니죠,0.0,
11422,극장에 갔고 돈을 냈어요,초등학교 때 가족들과 함께 극장에 갔는데 우기에 관한 영화를 봤어요,2.0,
11423,나중에 같은 학교에 있다는 것을 알게 되었어요,나중에 우리가 같은 학교라는 것을 알게 되었어요,4.2,
11424,정말 옳은 일입니다,네가 옳은 종류의 악을 맡았으면 좋겠어,0.4,
11425,일부 사립 유치원 쓰레기의 위협을 세심하게 살펴보셨으면 합니다,pta 정부가 매입해 국립 유치원으로 바꿨고 이사가 탐정들을 처벌해야 하는 상황이다,0.8,
11426,나는 당신이 직무 혜택을 없애야 합니다,정부 연금을 빼주셔야 해요,0.4,
11427,그냥 성인 영화야,그냥 똥 영화 같은 게 아니잖아,2.0,
11428,사장님 조사를 요청합니다,사장님 수술 후 전수조사를 요청합니다,3.2,
11429,경비원 채널에 초대했습니다,추천해 드렸어요,0.0,
11430,포인트를 남기지 않지만 나쁘지 않습니다,간과 간 사이에 보이는 10가지 점은 마음의 상태를 의심하게 된다,0.8,
11431,아침에 같이 가자 고 했잖아,그리고 마지막으로 306090 지원에 대해 매우 감사했습니다,0.0,
11432,나도 등록하려고,조만간 등록하겠습니다,3.6,
11433,중앙 물 훔치는 회사가 돈을 벌고 있습니다,중앙 방수 회사는 기꺼이 임금을 지불하라의 향이 있습니다,2.8,
11434,재미있게 봤어요,너무 재미있었어요,3.8,
11435,방과 후 1학년 영어수업을 한쪽으로 금지하는 교육부 장관을 대신해 주시면 정말 감사하겠습니다,12학년 방과 후 영어교육이 법적으로 충분히 수용될 수 있도록 해주시기 바랍니다,1.4,
11436,생각보다 더 즐거웠어요,웃긴 영화였어,2.6,
11437,정말 좋은 소식이 있습니다,좋은 소식이네요,3.4,
11438,대통령에게 답변을 하려면 20만 명 이상이 필요합니다,대통령에게 답변을 하려면 20만 명 이상이 필요합니다,5.0,
11439,당신에게 분명한 메시지가 있습니다,비율과 기호에 대해 생각해 보는 것은 매우 재미있었어요,0.0,
11440,인증서에 대한 사진과 문구를 추천하고 싶습니다,저와 함께 식사하시고 저와 함께 채널에 사진을 올려 주세요,0.2,
11441,주차장 버드의 키드 컷은 진짜 쇼였어,주차장에서 멋진 쇼였어요,2.2,
11442,아시다시피 제가 채플린 영화를 검색할 때 우연히 그것을 보았고 로버트 다우니의 공연에 정말 감동했고 얼마나 오래갈지 몰랐어요,로버트 다우니의 행위에 너무 감동했고 그가 얼마나 오래 그곳에 있을지 모른 채 단독 생활을 하는 것을 지켜봤다,3.6,
11443,일단 저한테는 저한테는 그리는 게 너무 커 보여서 저한테도 그리는 게 되게 큰 것 같아서 그리는 거를 하라고 소개를 해주셨거든요,일단 너무 커서 안 되니까 소개를 해주셨죠,3.6,
11444,트란의 눈은 안 보고 싶다,그 영화를 다시 보고 싶지 않아요,3.8,
11445,참가자들에게는 잘못이 없지만 잘못이 있으니 그들에게 욕을 해 주기를 바라며 진심 어린 사과를 받을 때까지는 두셨으면 합니다,네 잘못은 아니지만 내가 실수 많이 했으니까 사과받을 때까지 프로듀서한테 욕을 하고 싶으시리라 확신합니다,3.6,
11446,우리 가족이 이 다른 것을 어떻게 함께 보는지 모르겠어요,가족이 같이 보는 거야,3.6,
11447,다음에는 금지 시간에 뵙겠습니다,다음에는 금지 시간에 뵙겠습니다,4.2,
11448,국내 초등학교의 에어컨을 켜주세요,국립고등학교에는 에어 스페어 설치가 의무화되어 있습니다,1.2,
11449,특히 소와 다이어리,특히 앤서니 퀸 최고,0.6,
11450,우리가 왜 출산하는지 알잖아,출산의 원인이 무엇인지 알고 계십니까,4.2,
11451,엄마의 마음에 대해 말씀드릴까요,영미 연임 너무 예쁘고 너무 착해 왜 이렇게 비극적인 거야,0.0,
11452,공무원 나라,부자들을 위한 부동산 정책입니다,0.0,
11453,이 나라는 금지돼야 돼,전 대통령의 석방을 금지해 주시기 바랍니다,4.0,
11454,새벽 6시가 지났는데 먼지가 너무 무거워요,오전 6시부터 먼지가 너무 많아서 무서워요,4.6,
11455,글쓰기 싫다 글쓰기 싫다 자꾸 왜 그러지,왜 그러세요,0.6,
11456,우피의 노래에서 나오는 마리아의 얼굴 표정은 기억에서 사라지지 않는다,김 씨의 인권에 슬프게 웃은 마지막 장면이 아직도 기억나네요,0.6,
11457,5시간 살아요,5시간 살아요,4.4,
11458,좋은 한 해가 되어서 모두 저희 회사에 합류해 주시 길 바랍니다,그들은 모두 모기지와 주말을 즐기고 있습니다,0.4,
11459,재미있다 끝났어,재미있기도 하고 움직이는 것도 있고 이 영화가 별로 마음에 들지 않지만 조금 달라졌어요,2.0,
11460,마지막은 감동이다,마지막에 울었어,3.0,
11461,공포영화를 한 편이나 한 사람이에요,한국 영화의 영화입니다,1.4,
11462,제 돈을 돌려받고 싶어요,내 돈 돌려줘,2.8,
11463,소년법 폐지를 요청하는 것입니다,소년법을 바로잡아야 해요,1.4,
11464,오 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노,아 세상에 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노 노,0.0,
11465,보시면 후회가 없습니다,본 것을 후회하지 마세요,0.8,
11466,공포에 겁이 없으면 게임은 끝입니다,공포 영화의 규칙을 따르는 것을 두려워하지 않습니다,2.0,
11467,다음에 같이 먹을 때,다음에는 엄마랑 같이 먹으러 와야 해,0.8,
11468,저를 테스트해 주세요,최대한 빨리 사용해야 해요,1.0,
